Date,Amount
2021-12-20,2652029
2021-12-21,2648357
2021-12-22,1757395
2021-12-23,3560468
2021-12-24,3554914
2021-12-25,3570783
2021-12-26,3555130
2021-12-27,2675879
2021-12-28,1780274
2021-12-29,2667291
2021-12-30,4449840
